*N2O emissions output file

*DSSAT Cropping System Model Ver. 4.7.5.007 -  MAR 01, 2026 21:01:02
!              |---------------------------------- Cumulative ---------------------------------|---------------------------------- Daily --------------------------------------|
!               N2Oemit  N2emit  NOemit     CO2   Denit  Nitrif   N2O-denit+nit      N2      NO N2Oemit  N2emit  NOemit     CO2   Denit  Nitrif   N2O-denit+nit      N2      NO   Denitrification (g[N]/ha) by soil depth (cm):                           Nitrification (g[N]/ha) by soil depth (cm):                             N2O flux (g[N]/ha) by soil depth (cm):                                  N2 flux (g[N]/ha) by soil depth (cm):                                   NO flux (g[N]/ha) by soil depth (cm):
!                 kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha    0-10   10-20   20-30   30-40   40-50   50-60   60-70   70-80   80-90    0-10   10-20   20-30   30-40   40-50   50-60   60-70   70-80   80-90    0-10   10-20   20-30   30-40   40-50   50-60   60-70   70-80   80-90    0-10   10-20   20-30   30-40   40-50   50-60   60-70   70-80   80-90    0-10   10-20   20-30   30-40   40-50   50-60   60-70   70-80   80-90
@YEAR DOY   DAS   N2OEC    N2EC    NOEC   CO2TC    NDNC    NITC   N2ODC   N2ONC   N2FLC   NOFLC   N2OED    N2ED    NOED   CO2TD    NDND   NITRD   N2ODD   N2OND   N2FLD   NOFLD   NDN1D   NDN2D   NDN3D   NDN4D   NDN5D   NDN6D   NDN7D   NDN8D   NDN9D   NIT1D   NIT2D   NIT3D   NIT4D   NIT5D   NIT6D   NIT7D   NIT8D   NIT9D   N2O1D   N2O2D   N2O3D   N2O4D   N2O5D   N2O6D   N2O7D   N2O8D   N2O9D   N2F1D   N2F2D   N2F3D   N2F4D   N2F5D   N2F6D   N2F7D   N2F8D   N2F9D   NOF1D   NOF2D   NOF3D   NOF4D   NOF5D   NOF6D   NOF7D   NOF8D   NOF9D   
 2015 103     1    0.00    0.00    0.00       6    0.00     1.8   0.000   0.002   0.000   0.002     0.0     0.0     0.0    5888     0.0    1775    0.00    1.77    0.00    2.00     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0    195.    207.    203.    198.    197.    195.    194.    193.    192.     0.2     0.2     0.2     0.2     0.2     0.2     0.2     0.2     0.2     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.3     0.2     0.2     0.2     0.2     0.2     0.2     0.2     0.2
 2015 104     2    0.00    0.00    0.00      12    0.00     2.9   0.000   0.003   0.000   0.003     0.0     0.0     0.0    5626     0.0    1118    0.00    1.12    0.00    0.69     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0    534.     29.     33.     30.     31.     58.     66.    169.    168.     0.5     0.0     0.0     0.0     0.0     0.1     0.1     0.2     0.2     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.2     0.0     0.0     0.0     0.0     0.0     0.1     0.2     0.1
 2015 105     3    0.00    0.00    0.00      17    0.00     4.1   0.000   0.004   0.000   0.003     0.0     0.0     0.0    5575     0.0    1203    0.00    1.20    0.00    0.53     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0    795.     31.     34.     29.     28.     30.     54.     56.    146.     0.8     0.0     0.0     0.0     0.0     0.0     0.1     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.3     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1
 2015 106     4    0.00    0.00    0.00      23    0.00     5.6   0.000   0.006   0.000   0.004     0.0     0.0     0.0    5717     0.0    1498    0.00    1.50    0.00    0.57     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0   1075.     49.     42.     33.     33.     33.     50.     54.    129.     1.1     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.4     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1
 2015 107     5    0.00    0.00    0.00      28    0.00     6.7   0.000   0.007   0.000   0.004     0.0     0.0     0.0    5473     0.0    1058    0.00    1.06    0.00    0.27     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0    780.     50.     36.     30.     30.     28.     27.     35.     42.     0.8     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.2     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 2015 108     6    0.00    0.00    0.00      34    0.48     7.9   0.006   0.008   0.475   0.005     0.1     0.6     0.0    5605   481.7    1269    6.38    1.27  475.30    1.28    58.5    61.3    66.2    72.1    73.5    74.4    75.5     0.0     0.0    965.     58.     46.     34.     33.     31.     29.     34.     39.     1.9     0.8     1.0     1.0     1.0     1.0     1.0     0.0     0.0    57.5    60.5    65.3    71.2    72.6    73.5    74.6     0.0     0.0     0.4     0.1     0.2     0.1     0.1     0.1     0.1     0.0     0.0
 2015 109     7    0.00    0.00    0.00      39    1.08     8.9   0.013   0.009   1.065   0.006     0.0     0.6     0.0    5408   596.4    1001    6.30    1.00  590.11    1.11    66.5    60.7    74.7    75.7    78.5    79.3    79.8    81.1     0.0    741.     56.     39.     32.     31.     30.     28.     25.     19.     1.5     0.7     0.8     0.8     0.8     0.8     0.8     1.0     0.0    65.8    60.1    74.0    75.0    77.7    78.5    79.0    80.1     0.0     0.2     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.0
 2015 110     8    0.00    0.00    0.00      45    1.44    10.3   0.016   0.010   1.420   0.007     0.1     2.5     0.0    5822   357.7    1394    3.53    1.39  354.18    0.88    46.4    33.8    44.2    44.5    46.4    47.0    47.4    48.1     0.0    992.     81.     61.     50.     49.     47.     45.     39.     32.     1.5     0.4     0.5     0.5     0.5     0.5     0.5     0.6     0.0    45.9    33.5    43.8    44.0    45.9    46.6    46.9    47.5     0.0     0.3     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.0
 2015 111     9    0.00    0.00    0.00      51    1.92    11.2   0.021   0.011   1.904   0.008     0.0     0.4     0.0    5652   488.9     879    4.69    0.88  484.25    0.91   102.1    70.5    61.6    47.5    42.3    40.9    40.7    41.2    42.2    504.     50.     50.     48.     51.     50.     48.     43.     35.     1.4     0.6     0.6     0.5     0.5     0.4     0.4     0.4     0.7   101.2    69.9    61.0    47.0    41.9    40.5    40.3    40.8    41.6     0.2     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.1
 2015 112    10    0.00    0.01    0.00      56    2.49    12.2   0.026   0.012   2.461   0.009     0.0     1.5     0.0    5712   562.7    1001    5.11    1.00  557.62    0.96    77.6    63.5    74.8    77.0    80.9    64.6    45.0    39.9    39.4    662.     58.     43.     34.     33.     40.     48.     45.     38.     1.4     0.6     0.7     0.7     0.7     0.6     0.5     0.4     0.5    76.9    62.9    74.2    76.3    80.2    64.0    44.6    39.5    38.9     0.2     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.1
