RUN,EXCODE,TN,RN,CR,ADAPS,ADAPM,PD1PS,PD1PM,PDFPS,PDFPM,MDAPS,MDAPM,HWAMS,HWAMM,PWAMS,PWAMM,H#AMS,H#AMM,HWUMS,HWUMM,H#UMS,H#UMM,CWAMS,CWAMM,BWAMS,BWAMM,LAIXS,LAIXM,HIAMS,HIAMM,THAMS,THAMM,GNAMS,GNAMM,CNAMS,CNAMM,SNAMS,SNAMM,GN%MS,GN%MM,CWAAS,CWAAM,CNAAS,CNAAM,L#SMS,L#SMM,GL%MS,GL%MM,CHTAS,CHTAM,R8APS,R8APM,EDAPS,EDAPM,region,idRun,simulacao
1,EMEP1403BN,1,1,BN,45,35,51,42,58,56,83,72,2457,1605,3293,2313,1179,1090,0.2085,0.15,4.44,5.49,4879,3202,2420,-99,5.53,4.18,0.504,0.50,74.63,70.4,87,-99,126,-99,19,-99,3.56,-99,1830,1409,60,-99,13.65,-99,2.83,-99,1.21,-99,92,-99,4,-99,-99,treino_IP100_IT100_ei_exp,IP100_IT100_ei_exp
2,EMEP1403BN,4,1,BN,49,50,54,54,61,64,84,82,3120,4004,4008,3178,1443,1062,0.2163,0.23,4.44,5.31,5955,5302,2830,-99,5.07,4.92,0.524,-99,77.84,78.2,112,-99,147,-99,18,-99,3.58,-99,1728,2161,60,-99,13.70,-99,3.33,-99,1.11,-99,93,-99,4,-99,-99,treino_IP100_IT100_ei_exp,IP100_IT100_ei_exp
3,EMEP1403BN,5,1,BN,44,51,49,54,56,68,80,90,3169,3993,4050,5140,1396,1964,0.2270,0.19,4.44,4.96,6207,5002,3040,-99,6.03,5.67,0.511,-99,78.25,77.6,110,-99,147,-99,19,-99,3.48,-99,2070,2306,69,-99,14.46,-99,3.35,-99,1.42,-99,89,-99,4,-99,-99,treino_IP100_IT100_ei_exp,IP100_IT100_ei_exp
4,EMEP1403BN,6,1,BN,45,55,51,67,57,74,81,91,3214,4340,4098,5358,1439,3157,0.2234,0.19,4.44,4.95,6357,4261,3140,-99,5.91,5.00,0.506,-99,78.44,74.9,113,-99,152,-99,21,-99,3.52,-99,2042,1849,66,-99,14.52,-99,3.33,-99,1.38,-99,90,-99,4,-99,-99,treino_IP100_IT100_ei_exp,IP100_IT100_ei_exp
5,EMEP1403BN,9,1,BN,45,47,51,56,59,65,86,86,3065,2080,3962,3807,1220,1151,0.2513,0.17,4.44,4.63,5790,3027,2720,-99,5.09,4.59,0.529,0.69,77.37,71.8,105,-99,139,-99,17,-99,3.42,-99,1798,2002,61,-99,13.82,-99,3.15,-99,1.18,-99,95,-99,4,-99,-99,treino_IP100_IT100_ei_exp,IP100_IT100_ei_exp
1,EMEP1403BN,1,1,BN,45,35,51,42,58,56,83,72,2457,1605,3293,2313,1179,1090,0.2085,0.15,4.44,5.49,4879,3202,2420,-99,5.53,4.18,0.504,0.50,74.63,70.4,87,-99,126,-99,19,-99,3.56,-99,1830,1409,60,-99,13.65,-99,2.83,-99,1.21,-99,92,-99,4,-99,-99,treino_IP100_IT100_ei_gauss,IP100_IT100_ei_gauss
2,EMEP1403BN,4,1,BN,49,50,54,54,61,64,84,82,3120,4004,4008,3178,1443,1062,0.2163,0.23,4.44,5.31,5955,5302,2830,-99,5.07,4.92,0.524,-99,77.84,78.2,112,-99,147,-99,18,-99,3.58,-99,1728,2161,60,-99,13.70,-99,3.33,-99,1.11,-99,93,-99,4,-99,-99,treino_IP100_IT100_ei_gauss,IP100_IT100_ei_gauss
3,EMEP1403BN,5,1,BN,44,51,49,54,56,68,80,90,3169,3993,4050,5140,1396,1964,0.2270,0.19,4.44,4.96,6207,5002,3040,-99,6.03,5.67,0.511,-99,78.25,77.6,110,-99,147,-99,19,-99,3.48,-99,2070,2306,69,-99,14.46,-99,3.35,-99,1.42,-99,89,-99,4,-99,-99,treino_IP100_IT100_ei_gauss,IP100_IT100_ei_gauss
4,EMEP1403BN,6,1,BN,45,55,51,67,57,74,81,91,3214,4340,4098,5358,1439,3157,0.2234,0.19,4.44,4.95,6357,4261,3140,-99,5.91,5.00,0.506,-99,78.44,74.9,113,-99,152,-99,21,-99,3.52,-99,2042,1849,66,-99,14.52,-99,3.33,-99,1.38,-99,90,-99,4,-99,-99,treino_IP100_IT100_ei_gauss,IP100_IT100_ei_gauss
5,EMEP1403BN,9,1,BN,45,47,51,56,59,65,86,86,3065,2080,3962,3807,1220,1151,0.2513,0.17,4.44,4.63,5790,3027,2720,-99,5.09,4.59,0.529,0.69,77.37,71.8,105,-99,139,-99,17,-99,3.42,-99,1798,2002,61,-99,13.82,-99,3.15,-99,1.18,-99,95,-99,4,-99,-99,treino_IP100_IT100_ei_gauss,IP100_IT100_ei_gauss
1,EMEP1403BN,1,1,BN,45,35,51,42,58,56,83,72,2457,1605,3293,2313,1179,1090,0.2085,0.15,4.44,5.49,4879,3202,2420,-99,5.53,4.18,0.504,0.50,74.63,70.4,87,-99,126,-99,19,-99,3.56,-99,1830,1409,60,-99,13.65,-99,2.83,-99,1.21,-99,92,-99,4,-99,-99,treino_IP100_IT100_ei_matern3_2,IP100_IT100_ei_matern3_2
2,EMEP1403BN,4,1,BN,49,50,54,54,61,64,84,82,3120,4004,4008,3178,1443,1062,0.2163,0.23,4.44,5.31,5955,5302,2830,-99,5.07,4.92,0.524,-99,77.84,78.2,112,-99,147,-99,18,-99,3.58,-99,1728,2161,60,-99,13.70,-99,3.33,-99,1.11,-99,93,-99,4,-99,-99,treino_IP100_IT100_ei_matern3_2,IP100_IT100_ei_matern3_2
3,EMEP1403BN,5,1,BN,44,51,49,54,56,68,80,90,3169,3993,4050,5140,1396,1964,0.2270,0.19,4.44,4.96,6207,5002,3040,-99,6.03,5.67,0.511,-99,78.25,77.6,110,-99,147,-99,19,-99,3.48,-99,2070,2306,69,-99,14.46,-99,3.35,-99,1.42,-99,89,-99,4,-99,-99,treino_IP100_IT100_ei_matern3_2,IP100_IT100_ei_matern3_2
