*WEATHER MODULE DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.5.007 -  MAR 01, 2026 21:19:28
@YEAR DOY   DAS   PRED  DAYLD   TWLD   SRAD   PARD   CLDD   TMXD   TMND   TAVD   TDYD   TDWD   TGAD   TGRD   WDSD   CO2D   VPDF   VPD
 2015 103     1    5.0   11.7   12.5   16.8   33.6   0.34   29.5   21.0   25.0   26.7   21.0   25.0   26.7   86.4  400.1   0.00   0.00
 2015 104     2    7.6   11.6   12.5   12.0   24.0   0.53   27.6   21.4   24.3   25.6   21.4   24.3   25.6   86.4  400.1   0.00   0.00
 2015 105     3    0.2   11.6   12.5   12.8   25.6   0.50   29.2   21.0   24.9   26.5   21.0   24.9   26.5   86.4  400.3   0.00   0.00
 2015 106     4   16.4   11.6   12.5   14.7   29.4   0.42   27.8   19.7   23.5   25.1   19.7   23.5   25.1   86.4  400.3   0.00   0.00
 2015 107     5    1.8   11.6   12.5   14.3   28.6   0.43   29.4   20.1   24.5   26.3   20.1   24.5   26.3   86.4  400.3   0.00   0.00
 2015 108     6    0.2   11.6   12.4   16.8   33.6   0.33   29.9   19.2   24.3   26.4   19.2   24.3   26.4   86.4  400.3   0.00   0.00
 2015 109     7    0.0   11.6   12.4   15.5   31.0   0.38   29.9   19.4   24.4   26.4   19.4   24.4   26.4   86.4  400.3   0.00   0.00
 2015 110     8    9.2   11.6   12.4   11.2   22.4   0.55   29.5   18.9   23.9   26.0   18.9   23.9   26.0   86.4  400.3   0.00   0.00
 2015 111     9   10.0   11.5   12.4   15.2   30.4   0.38   30.1   20.6   25.1   26.9   20.6   25.1   26.9   86.4  400.3   0.00   0.00
 2015 112    10    0.0   11.5   12.4   15.8   31.6   0.36   28.4   19.4   23.6   25.4   19.4   23.6   25.4   86.4  400.3   0.00   0.00
 2015 113    11    0.0   11.5   12.4   13.3   26.6   0.46   29.8   19.9   24.6   26.5   19.9   24.6   26.5   86.4  400.3   0.00   0.00
 2015 114    12    0.2   11.5   12.4   13.8   27.6   0.43   29.7   19.0   24.0   26.1   19.0   24.0   26.1   86.4  400.3   0.00   0.00
 2015 115    13    0.0   11.5   12.4   16.8   33.6   0.31   30.2   20.2   24.9   26.9   20.2   24.9   26.9   86.4  400.3   0.00   0.00
 2015 116    14    6.2   11.5   12.3   14.4   28.8   0.40   29.1   18.7   23.6   25.6   18.7   23.6   25.6   86.4  400.3   0.00   0.00
 2015 117    15    0.2   11.5   12.3   21.1   42.2   0.12   28.4   17.5   22.6   24.8   17.5   22.6   24.8   86.4  400.3   0.00   0.00
 2015 118    16   12.0   11.4   12.3   21.1   42.2   0.12   28.3   17.0   22.3   24.5   17.0   22.3   24.5   86.4  400.3   0.00   0.00
 2015 119    17    0.0   11.4   12.3   21.6   43.2   0.09   28.0   14.8   21.0   23.6   14.8   21.0   23.6   86.4  400.3   0.00   0.00
 2015 120    18    0.0   11.4   12.3   22.0   44.0   0.07    8.6    2.4    5.3    6.5    2.4    5.3    6.5   86.4  400.3   0.00   0.00
 2015 121    19    0.0   11.4   12.3   16.8   33.6   0.29   29.1   13.0   20.6   23.7   13.0   20.6   23.7   86.4  400.3   0.00   0.00
 2015 122    20    0.0   11.4   12.3   18.0   36.0   0.23   28.4   14.5   21.0   23.7   14.5   21.0   23.7   86.4  400.3   0.00   0.00
 2015 123    21    0.0   11.4   12.3   15.9   31.8   0.32   28.0   14.7   21.0   23.5   14.7   21.0   23.5   86.4  400.3   0.00   0.00
 2015 124    22    0.0   11.4   12.2    9.8   19.6   0.58   26.4   14.5   20.1   22.4   14.5   20.1   22.4   86.4  400.3   0.00   0.00
 2015 125    23    5.8   11.3   12.2   13.8   27.6   0.41   28.0   15.4   21.3   23.8   15.4   21.3   23.8   86.4  400.3   0.00   0.00
 2015 126    24   23.2   11.3   12.2    8.7   17.4   0.62   26.6   16.1   21.0   23.1   16.1   21.0   23.1   86.4  400.3   0.00   0.00
 2015 127    25    0.4   11.3   12.2   16.2   32.4   0.30   27.7   15.8   21.4   23.7   15.8   21.4   23.7   86.4  400.3   0.00   0.00
 2015 128    26    0.0   11.3   12.2   14.5   29.0   0.37   28.4   17.2   22.5   24.6   17.2   22.5   24.6   86.4  400.3   0.00   0.00
 2015 129    27    0.0   11.3   12.2   13.5   27.0   0.41   26.5   16.3   21.1   23.0   16.3   21.1   23.0   86.4  400.3   0.00   0.00
 2015 130    28    0.0   11.3   12.2   16.4   32.8   0.28   28.2   15.4   21.4   23.9   15.4   21.4   23.9   86.4  400.3   0.00   0.00
 2015 131    29   34.0   11.3   12.2    4.6    9.2   0.80   21.4   15.8   18.4   19.5   15.8   18.4   19.5   86.4  400.3   0.00   0.00
 2015 132    30    0.0   11.3   12.2    9.0   18.0   0.60   22.3   17.2   19.6   20.6   17.2   19.6   20.6   86.4  400.3   0.00   0.00
 2015 133    31    0.2   11.3   12.1   10.9   21.8   0.51   24.8   15.6   19.9   21.7   15.6   19.9   21.7   86.4  400.3   0.00   0.00
 2015 134    32    0.0   11.2   12.1   12.9   25.8   0.42   26.9   14.2   20.2   22.6   14.2   20.2   22.6   86.4  400.3   0.00   0.00
 2015 135    33    0.0   11.2   12.1   12.1   24.2   0.46   26.2   13.4   19.4   21.8   13.4   19.4   21.8   86.4  400.5   0.00   0.00
 2015 136    34    0.0   11.2   12.1   10.0   20.0   0.55   24.9   14.1   19.2   21.2   14.1   19.2   21.2   86.4  400.5   0.00   0.00
